,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-08-18,142.34,142.34,142.35,265749.0
2022-08-19,138.22,138.21,138.22,319441.0
2022-08-22,133.24,133.23,133.25,338693.0
2022-08-23,133.62,133.61,133.62,252840.0
2022-08-24,133.84,133.83,133.85,260083.0
2022-08-25,137.3,137.29,137.3,259980.0
2022-08-26,130.75,130.75,130.76,354390.0
2022-08-29,129.79,129.78,129.8,333006.0
2022-08-30,128.74,128.73,128.75,345483.0
2022-08-31,126.76,126.75,126.76,329113.0
2022-09-01,127.84,127.82,127.86,404687.0
2022-09-02,127.67,127.66,127.67,416390.0
2022-09-06,126.11,126.1,126.12,304622.0
2022-09-07,129.44,129.43,129.45,301226.0
2022-09-08,129.85,129.85,129.86,306953.0
2022-09-09,133.27,133.26,133.27,358292.0
2022-09-12,136.49,136.48,136.49,362421.0
2022-09-13,126.83,126.82,126.83,493023.0
2022-09-14,128.56,128.55,128.56,319559.0
2022-09-15,126.3,126.29,126.3,350603.0
2022-09-16,123.53,123.53,123.54,635183.0
2022-09-19,124.67,124.66,124.68,339388.0
2022-09-20,122.2,122.2,122.21,347103.0
2022-09-21,118.51,118.49,118.53,422505.0
2022-09-22,117.28,117.26,117.3,396120.0
2022-09-23,113.81,113.81,113.82,446520.0
2022-09-26,115.13,115.11,115.15,447818.0
2022-09-27,114.42,114.42,114.43,435259.0
2022-09-28,117.99,117.98,118.0,389121.0
2022-09-29,114.89,114.89,114.9,395957.0
2022-09-30,113.03,113.02,113.03,393543.0
2022-10-03,115.94,115.91,115.96,336679.0
2022-10-04,121.12,121.07,121.16,450235.0
2022-10-05,120.95,120.92,120.98,356708.0
2022-10-06,120.31,120.3,120.32,312467.0
2022-10-07,114.57,114.56,114.58,366906.0
2022-10-10,113.61,113.6,113.61,315744.0
2022-10-11,112.21,112.2,112.22,418144.0
2022-10-12,112.89,112.89,112.9,339536.0
2022-10-13,112.45,112.45,112.46,655513.0
2022-10-14,106.94,106.93,106.95,479114.0
2022-10-17,113.83,113.82,113.83,451995.0
2022-10-18,116.44,116.43,116.45,479442.0
2022-10-19,115.1,115.08,115.12,345968.0
2022-10-20,115.23,115.22,115.23,361853.0
2022-10-21,119.32,119.31,119.33,414065.0
2022-10-24,119.92,119.91,119.92,348063.0
2022-10-25,120.64,120.63,120.66,343164.0
2022-10-26,115.7,115.7,115.71,515686.0
2022-10-27,111.23,111.07,111.4,636220.0
2022-10-28,103.39,103.38,103.4,1738820.0
2022-10-31,102.42,102.42,102.43,716557.0
2022-11-01,96.76,96.75,96.77,1208310.0
2022-11-02,92.06,92.05,92.08,1006952.0
2022-11-03,89.31,89.3,89.33,1078853.0
2022-11-04,91.0,90.99,91.0,928930.0
2022-11-07,90.55,90.54,90.56,602804.0
2022-11-08,90.02,90.0,90.03,639122.0
2022-11-09,86.16,86.14,86.17,689414.0
2022-11-10,96.56,96.55,96.58,1289706.0
2022-11-11,100.78,100.78,100.79,893242.0
2022-11-14,98.45,98.42,98.48,701853.0
2022-11-15,98.98,98.98,98.99,869539.0
2022-11-16,97.15,97.14,97.16,691574.0
2022-11-17,94.86,94.85,94.87,626247.0
2022-11-18,94.16,94.15,94.17,549490.0
2022-11-21,92.45,92.45,92.46,662015.0
2022-11-22,93.2,93.2,93.21,471199.0
2022-11-23,94.2,94.18,94.21,456369.0
2022-11-25,93.45,93.44,93.45,276355.0
