,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-07-15,385.1,385.09,385.1,450957.0
2022-07-18,381.99,381.98,381.99,433965.0
2022-07-19,392.25,392.24,392.25,531909.0
2022-07-20,394.8,394.79,394.8,487691.0
2022-07-21,398.82,398.81,398.83,448786.0
2022-07-22,395.13,395.12,395.13,473885.0
2022-07-25,395.55,395.54,395.55,368626.0
2022-07-26,390.92,390.91,390.92,374708.0
2022-07-27,401.0,401.0,401.0,567728.0
2022-07-28,406.0,406.0,406.01,498068.0
2022-07-29,412.05,412.04,412.06,523109.0
2022-08-01,410.7,410.7,410.71,488523.0
2022-08-02,408.12,408.11,408.12,455598.0
2022-08-03,414.41,414.4,414.41,450763.0
2022-08-04,414.17,414.16,414.17,302787.0
2022-08-05,413.44,413.43,413.45,398759.0
2022-08-08,413.03,413.02,413.03,378398.0
2022-08-09,411.34,411.33,411.35,335508.0
2022-08-10,419.94,419.93,419.94,440053.0
2022-08-11,420.0,420.0,420.01,410996.0
2022-08-12,427.05,427.04,427.06,403940.0
2022-08-15,428.87,428.86,428.87,359757.0
2022-08-16,429.67,429.66,429.67,401414.0
2022-08-17,426.67,426.66,426.67,425655.0
2022-08-18,427.84,427.83,427.84,326549.0
2022-08-19,422.14,422.14,422.15,451475.0
2022-08-22,413.46,413.45,413.47,480717.0
2022-08-23,412.33,412.32,412.34,372455.0
2022-08-24,413.63,413.62,413.63,334306.0
2022-08-25,419.5,419.5,419.51,347471.0
2022-08-26,405.31,405.31,405.32,687953.0
2022-08-29,402.63,402.62,402.63,467188.0
2022-08-30,398.18,398.17,398.18,604359.0
2022-08-31,395.12,395.11,395.13,490948.0
2022-09-01,396.39,396.39,396.4,583797.0
2022-09-02,392.26,392.26,392.27,677077.0
2022-09-06,390.8,390.79,390.8,566225.0
2022-09-07,397.78,397.77,397.78,513859.0
2022-09-08,400.41,400.4,400.41,567201.0
2022-09-09,406.56,406.55,406.56,518019.0
2022-09-12,410.94,410.93,410.94,478611.0
2022-09-13,393.16,393.15,393.16,729909.0
