,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-09-23,237.97,237.96,237.97,202744.0
2022-09-26,237.49,237.46,237.52,160870.0
2022-09-27,236.45,236.41,236.49,174193.0
2022-09-28,241.03,241.02,241.03,178847.0
2022-09-29,237.53,237.51,237.54,173707.0
2022-09-30,232.83,232.81,232.84,198648.0
2022-10-03,240.66,240.66,240.67,165984.0
2022-10-04,248.9,248.89,248.9,203692.0
2022-10-05,249.33,249.32,249.33,133174.0
2022-10-06,246.83,246.78,246.87,122162.0
2022-10-07,234.31,234.25,234.36,228145.0
2022-10-10,229.13,229.09,229.16,198556.0
2022-10-11,225.41,225.4,225.42,189922.0
2022-10-12,225.72,225.69,225.75,139778.0
2022-10-13,234.24,234.23,234.24,283884.0
2022-10-14,228.74,228.58,228.9,186108.0
2022-10-17,237.53,237.53,237.54,158249.0
2022-10-18,238.56,238.54,238.59,171344.0
2022-10-19,236.53,236.51,236.55,124412.0
2022-10-20,236.11,236.1,236.12,122627.0
2022-10-21,242.08,242.02,242.14,154689.0
2022-10-24,247.31,247.31,247.32,154952.0
2022-10-25,250.79,250.67,250.91,182319.0
2022-10-26,231.26,231.2,231.32,590502.0
2022-10-27,226.83,226.82,226.84,255780.0
2022-10-28,235.77,235.75,235.79,263967.0
2022-10-31,232.13,232.12,232.13,157883.0
2022-11-01,228.16,228.14,228.17,196784.0
2022-11-02,220.08,220.04,220.12,242436.0
2022-11-03,214.25,214.24,214.25,247466.0
2022-11-04,221.5,221.45,221.55,225032.0
2022-11-07,227.94,227.92,227.96,194155.0
2022-11-08,228.88,228.87,228.89,171956.0
2022-11-09,224.52,224.51,224.52,137087.0
2022-11-10,242.93,242.92,242.94,260687.0
2022-11-11,247.15,247.09,247.2,197902.0
2022-11-14,241.59,241.56,241.61,192223.0
2022-11-15,242.06,242.03,242.09,181307.0
2022-11-16,241.78,241.73,241.82,135520.0
2022-11-17,241.74,241.7,241.77,133937.0
2022-11-18,241.28,241.23,241.32,142110.0
2022-11-21,242.09,242.05,242.13,154719.0
2022-11-22,245.06,245.04,245.08,117348.0
2022-11-23,247.69,247.62,247.76,106482.0
2022-11-25,247.62,247.57,247.67,54167.0
2022-11-28,241.75,241.72,241.77,134542.0
2022-11-29,240.28,240.27,240.29,104374.0
2022-11-30,255.09,255.03,255.16,218691.0
2022-12-01,254.71,254.69,254.72,147733.0
2022-12-02,255.03,255.02,255.03,130110.0
2022-12-05,250.2,250.19,250.21,134947.0
2022-12-06,245.08,245.07,245.09,127871.0
2022-12-07,244.31,244.3,244.31,110559.0
2022-12-08,247.41,247.4,247.41,140879.0
2022-12-09,245.44,245.42,245.45,112004.0
2022-12-12,252.52,252.51,252.52,182013.0
2022-12-13,256.94,256.92,256.95,232738.0
2022-12-14,257.2,257.19,257.22,219531.0
2022-12-15,249.03,249.01,249.06,179324.0
2022-12-16,243.94,243.84,244.05,283678.0
2022-12-19,240.47,240.45,240.48,184829.0
2022-12-20,241.84,241.82,241.86,139240.0
2022-12-21,244.47,244.43,244.5,150631.0
2022-12-22,238.26,238.23,238.29,178833.0
2022-12-23,238.75,238.73,238.77,130779.0
2022-12-27,236.98,236.96,237.0,101879.0
2022-12-28,234.5,234.49,234.5,110658.0
2022-12-29,240.99,240.96,241.01,124428.0
2022-12-30,239.83,239.82,239.83,127289.0
2023-01-03,239.58,239.57,239.59,153347.0
2023-01-04,229.12,229.1,229.13,336449.0
2023-01-05,222.27,222.25,222.28,266907.0
2023-01-06,224.86,224.84,224.87,281835.0
2023-01-09,227.15,227.14,227.16,164620.0
2023-01-10,228.87,228.86,228.88,152343.0
2023-01-11,235.81,235.79,235.83,161224.0
2023-01-12,238.47,238.46,238.47,162996.0
2023-01-13,239.15,239.11,239.19,130381.0
2023-01-17,240.34,240.34,240.35,166412.0
2023-01-18,235.81,235.8,235.81,175707.0
2023-01-19,232.0,231.96,232.05,166652.0
2023-01-20,240.16,240.15,240.16,204916.0
2023-01-23,242.5,242.49,242.52,189835.0
2023-01-24,242.13,242.04,242.22,197356.0
2023-01-25,240.59,240.55,240.63,501997.0
2023-01-26,248.02,247.99,248.04,227032.0
2023-01-27,248.15,248.14,248.16,161957.0
2023-01-30,242.76,242.74,242.78,144382.0
2023-01-31,247.84,247.82,247.86,120670.0
2023-02-01,252.77,252.75,252.79,176721.0
2023-02-02,264.61,264.6,264.61,240526.0
2023-02-03,258.33,258.33,258.34,168420.0
2023-02-06,256.78,256.75,256.81,130984.0
2023-02-07,267.57,267.56,267.59,341943.0
2023-02-08,266.71,266.66,266.76,364938.0
2023-02-09,263.7,263.65,263.76,230270.0
2023-02-10,263.11,263.1,263.11,145535.0
2023-02-13,271.31,271.31,271.32,311521.0
2023-02-14,272.02,272.0,272.04,234759.0
2023-02-15,269.32,269.32,269.33,161386.0
2023-02-16,262.17,262.13,262.2,170722.0
2023-02-17,258.08,258.06,258.1,185737.0
2023-02-21,252.69,252.66,252.71,155798.0
2023-02-22,251.59,251.59,251.6,127325.0
2023-02-23,254.8,254.76,254.83,176607.0
2023-02-24,249.24,249.21,249.26,127867.0
2023-02-27,250.21,250.2,250.21,116307.0
2023-02-28,249.4,249.39,249.41,109506.0
2023-03-01,246.4,246.39,246.4,161218.0
2023-03-02,251.11,251.09,251.12,149204.0
2023-03-03,255.34,255.32,255.37,138584.0
2023-03-06,256.93,256.9,256.95,131968.0
2023-03-07,254.18,254.15,254.2,121772.0
2023-03-08,253.75,253.74,253.77,108605.0
2023-03-09,252.29,252.27,252.31,162061.0
2023-03-10,248.59,248.59,248.6,169988.0
2023-03-13,253.91,253.91,253.92,203292.0
2023-03-14,260.81,260.79,260.84,193567.0
2023-03-15,265.5,265.48,265.53,283288.0
2023-03-16,276.22,276.2,276.24,347070.0
2023-03-17,279.43,279.41,279.44,412296.0
2023-03-20,272.22,272.2,272.24,269639.0
2023-03-21,273.81,273.78,273.84,192461.0
2023-03-22,272.27,272.26,272.29,222013.0
2023-03-23,277.6,277.58,277.62,236129.0
2023-03-24,280.57,280.57,280.58,182268.0
2023-03-27,276.42,276.39,276.44,172761.0
2023-03-28,275.25,275.23,275.26,139792.0
2023-03-29,280.53,280.52,280.54,146380.0
2023-03-30,284.08,284.07,284.09,152041.0
2023-03-31,288.24,288.22,288.26,180167.0
2023-04-03,287.13,287.13,287.14,162433.0
2023-04-04,287.25,287.24,287.25,165992.0
2023-04-05,284.36,284.33,284.38,142577.0
2023-04-06,291.56,291.55,291.57,191551.0
2023-04-10,289.38,289.38,289.39,157617.0
2023-04-11,282.89,282.87,282.91,179179.0
2023-04-12,283.59,283.58,283.6,176053.0
2023-04-13,289.84,289.82,289.86,147143.0
2023-04-14,286.13,286.11,286.14,136893.0
2023-04-17,288.8,288.79,288.8,144743.0
2023-04-18,288.28,288.27,288.28,120122.0
2023-04-19,288.43,288.41,288.44,108909.0
2023-04-20,286.14,286.12,286.16,133214.0
2023-04-21,285.8,285.79,285.8,124432.0
2023-04-24,281.87,281.86,281.87,173230.0
2023-04-25,275.56,275.55,275.57,214661.0
2023-04-26,295.32,295.29,295.35,423771.0
2023-04-27,304.7,304.68,304.73,294717.0
2023-04-28,307.32,307.32,307.33,225707.0
2023-05-01,305.53,305.52,305.54,138231.0
2023-05-02,305.43,305.41,305.45,159850.0
2023-05-03,304.41,304.39,304.42,138948.0
2023-05-04,305.55,305.52,305.57,138788.0
2023-05-05,310.64,310.62,310.67,164698.0
2023-05-08,308.64,308.63,308.66,139091.0
2023-05-09,306.94,306.94,306.95,134181.0
2023-05-10,312.32,312.31,312.33,176534.0
2023-05-11,310.06,310.03,310.08,171219.0
2023-05-12,309.01,309.0,309.02,119975.0
2023-05-15,309.5,309.48,309.52,98031.0
2023-05-16,311.76,311.76,311.77,156763.0
2023-05-17,314.0,313.99,314.02,122839.0
2023-05-18,318.56,318.56,318.57,152483.0
