,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-11-23,9.12,9.11,9.12,62514.0
2022-11-25,9.39,9.38,9.4,43288.0
2022-11-28,9.25,9.25,9.25,62604.0
2022-11-29,9.15,9.15,9.16,56808.0
2022-11-30,9.02,9.01,9.02,73256.0
2022-12-01,9.05,9.04,9.05,50897.0
2022-12-02,8.68,8.67,8.68,47726.0
2022-12-05,8.33,8.33,8.34,52561.0
2022-12-06,8.63,8.62,8.63,66803.0
2022-12-07,8.61,8.61,8.61,40628.0
2022-12-08,8.57,8.56,8.57,66333.0
2022-12-09,8.4,8.4,8.4,42570.0
2022-12-12,8.91,8.91,8.91,45125.0
2022-12-13,8.99,8.98,9.0,53099.0
2022-12-14,9.0,9.0,9.01,62672.0
2022-12-15,8.05,8.05,8.06,107168.0
2022-12-16,8.07,8.07,8.07,78249.0
2022-12-19,7.83,7.82,7.83,67667.0
2022-12-20,8.33,8.33,8.33,229391.0
2022-12-21,8.38,8.37,8.38,172359.0
2022-12-22,8.2,8.2,8.21,83460.0
2022-12-23,8.22,8.22,8.22,56263.0
2022-12-27,8.29,8.29,8.29,45352.0
2022-12-28,8.06,8.06,8.06,56870.0
2022-12-29,8.19,8.19,8.19,53964.0
2022-12-30,8.21,8.21,8.21,33365.0
2023-01-03,8.38,8.38,8.39,51839.0
2023-01-04,8.22,8.22,8.22,98064.0
2023-01-05,8.03,8.03,8.03,69445.0
2023-01-06,8.44,8.44,8.44,66770.0
2023-01-09,8.48,8.47,8.48,190466.0
2023-01-10,7.84,7.84,7.84,300428.0
2023-01-11,7.56,7.56,7.56,153344.0
2023-01-12,8.04,8.04,8.05,68303.0
2023-01-13,8.06,8.06,8.06,40561.0
2023-01-17,8.48,8.48,8.48,71460.0
2023-01-18,7.89,7.89,7.89,101582.0
2023-01-19,7.09,7.08,7.09,384026.0
2023-01-20,7.2,7.2,7.2,95581.0
2023-01-23,7.37,7.37,7.38,81258.0
2023-01-24,7.83,7.83,7.83,92016.0
2023-01-25,7.73,7.73,7.73,68466.0
2023-01-26,7.63,7.63,7.63,44827.0
2023-01-27,7.43,7.43,7.43,56048.0
2023-01-30,7.21,7.21,7.21,74939.0
2023-01-31,7.24,7.23,7.24,81581.0
2023-02-01,7.98,7.97,7.98,237953.0
2023-02-02,8.19,8.18,8.19,97344.0
2023-02-03,8.43,8.43,8.43,90493.0
2023-02-06,8.32,8.32,8.32,54417.0
2023-02-07,8.2,8.2,8.2,55755.0
2023-02-08,8.52,8.52,8.52,128241.0
2023-02-09,8.7,8.7,8.7,186999.0
2023-02-10,9.0,9.0,9.0,98153.0
2023-02-13,9.05,9.05,9.06,75730.0
2023-02-14,9.28,9.28,9.29,111865.0
2023-02-15,9.3,9.3,9.3,74460.0
2023-02-16,9.59,9.58,9.59,116486.0
2023-02-17,9.2,9.2,9.2,94326.0
2023-02-21,8.81,8.8,8.81,68246.0
2023-02-22,8.67,8.67,8.67,57748.0
2023-02-23,9.43,9.43,9.43,124071.0
2023-02-24,9.81,9.81,9.82,130801.0
2023-02-27,10.11,10.11,10.11,134563.0
2023-02-28,9.8,9.79,9.8,104288.0
2023-03-01,10.2,10.2,10.2,69258.0
2023-03-02,9.84,9.83,9.84,92022.0
2023-03-03,9.79,9.78,9.8,67293.0
2023-03-06,9.83,9.83,9.83,52565.0
2023-03-07,9.85,9.85,9.86,67881.0
2023-03-08,10.24,10.23,10.24,103217.0
2023-03-09,9.85,9.85,9.86,77311.0
2023-03-10,9.27,9.27,9.28,124102.0
2023-03-13,8.92,8.92,8.93,79817.0
2023-03-14,9.25,9.25,9.25,65773.0
2023-03-15,9.18,9.17,9.18,77543.0
2023-03-16,9.72,9.72,9.73,95393.0
2023-03-17,9.55,9.55,9.55,91231.0
2023-03-20,9.87,9.87,9.87,91934.0
2023-03-21,10.83,10.82,10.83,138476.0
2023-03-22,11.25,11.24,11.26,161500.0
2023-03-23,11.38,11.37,11.4,132995.0
2023-03-24,11.08,11.07,11.08,116622.0
2023-03-27,11.09,11.08,11.09,112249.0
2023-03-28,10.28,10.28,10.29,139142.0
2023-03-29,10.57,10.57,10.57,88535.0
2023-03-30,10.33,10.33,10.33,81506.0
2023-03-31,10.66,10.65,10.66,71664.0
2023-04-03,11.27,11.27,11.28,124484.0
2023-04-04,10.94,10.94,10.95,112618.0
2023-04-05,10.8,10.8,10.8,43380.0
2023-04-06,10.07,10.07,10.07,246406.0
2023-04-10,10.66,10.65,10.66,79789.0
2023-04-11,10.47,10.47,10.47,59737.0
2023-04-12,10.81,10.8,10.81,96879.0
2023-04-13,10.83,10.82,10.83,77534.0
2023-04-14,10.92,10.91,10.92,58680.0
2023-04-17,11.05,11.04,11.05,47113.0
2023-04-18,11.59,11.58,11.59,96157.0
2023-04-19,10.99,10.97,11.0,95771.0
2023-04-20,10.8,10.8,10.8,71838.0
2023-04-21,10.73,10.73,10.73,69746.0
2023-04-24,9.85,9.84,9.86,302950.0
2023-04-25,9.33,9.32,9.33,151902.0
2023-04-26,9.49,9.49,9.49,88792.0
2023-04-27,9.86,9.86,9.87,60284.0
2023-04-28,10.54,10.54,10.54,94982.0
2023-05-01,10.51,10.51,10.51,97904.0
2023-05-02,10.44,10.43,10.44,122979.0
2023-05-03,13.39,13.38,13.4,616277.0
2023-05-04,13.63,13.63,13.64,135905.0
2023-05-05,13.72,13.72,13.72,158143.0
2023-05-08,13.67,13.66,13.67,95422.0
2023-05-09,13.22,13.22,13.23,97193.0
2023-05-10,13.43,13.43,13.43,63323.0
2023-05-11,13.65,13.64,13.65,69235.0
2023-05-12,13.46,13.45,13.46,46782.0
2023-05-15,13.79,13.78,13.79,60147.0
2023-05-16,14.58,14.58,14.58,150286.0
2023-05-17,15.43,15.42,15.43,184624.0
2023-05-18,16.45,16.45,16.46,226312.0
2023-05-19,16.41,16.41,16.42,189817.0
2023-05-22,16.49,16.48,16.49,114472.0
2023-05-23,16.19,16.19,16.19,91305.0
2023-05-24,16.76,16.76,16.76,96620.0
2023-05-25,20.69,20.68,20.69,506316.0
2023-05-26,21.92,21.91,21.92,353986.0
2023-05-30,23.41,23.4,23.41,339909.0
2023-05-31,22.39,22.38,22.39,274404.0
2023-06-01,23.11,23.11,23.11,191313.0
2023-06-02,22.19,22.18,22.2,170052.0
2023-06-05,22.36,22.35,22.37,125311.0
2023-06-06,23.31,23.3,23.32,131011.0
2023-06-07,23.98,23.97,23.99,300153.0
2023-06-08,25.45,25.44,25.46,219329.0
2023-06-09,26.16,26.15,26.16,228663.0
2023-06-12,25.86,25.86,25.86,222292.0
2023-06-13,24.43,24.42,24.43,321686.0
2023-06-14,24.78,24.78,24.78,174256.0
2023-06-15,24.39,24.38,24.41,124667.0
2023-06-16,23.08,23.08,23.08,163140.0
2023-06-20,22.23,22.23,22.24,212689.0
2023-06-21,21.99,21.99,21.99,157823.0
2023-06-22,22.64,22.64,22.65,257775.0
2023-06-23,21.6,21.59,21.6,145793.0
2023-06-26,21.66,21.65,21.66,193097.0
2023-06-27,22.62,22.62,22.63,161661.0
2023-06-28,23.59,23.59,23.59,171591.0
2023-06-29,23.59,23.58,23.59,172966.0
2023-06-30,24.92,24.91,24.93,167553.0
2023-07-03,24.93,24.92,24.94,108914.0
2023-07-05,25.51,25.5,25.51,132278.0
2023-07-06,25.04,25.04,25.05,105936.0
2023-07-07,26.01,26.0,26.02,185376.0
2023-07-10,27.0,26.99,27.01,162267.0
2023-07-11,27.09,27.09,27.1,199330.0
2023-07-12,27.67,27.66,27.67,178303.0
2023-07-13,29.4,29.4,29.41,188915.0
2023-07-14,29.54,29.54,29.55,256394.0
2023-07-17,30.21,30.2,30.21,155249.0
2023-07-18,31.82,31.8,31.84,172165.0
2023-07-19,30.35,30.34,30.36,291353.0
2023-07-20,30.31,30.3,30.31,323322.0
2023-07-21,30.32,30.31,30.33,257974.0
2023-07-24,30.94,30.94,30.95,195340.0
2023-07-25,32.12,32.11,32.14,158540.0
2023-07-26,31.73,31.73,31.74,151663.0
2023-07-27,32.74,32.73,32.75,213775.0
2023-07-28,33.44,33.44,33.45,127162.0
2023-07-31,33.02,33.01,33.03,142723.0
2023-08-01,33.74,33.73,33.76,128108.0
2023-08-02,31.96,31.95,31.96,172772.0
2023-08-03,32.13,32.12,32.14,89487.0
