,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-11-10,15.75,15.74,15.75,5132960.0
2022-11-11,16.33,16.33,16.33,5074227.0
2022-11-14,16.32,16.32,16.32,4111478.0
2022-11-15,16.67,16.67,16.68,4131824.0
2022-11-16,15.95,15.94,15.96,4332276.0
2022-11-17,15.68,15.68,15.68,5576126.0
2022-11-18,15.41,15.41,15.41,3857195.0
2022-11-21,15.32,15.32,15.32,3046100.0
2022-11-22,16.04,16.04,16.04,3756228.0
2022-11-23,16.52,16.52,16.53,3431721.0
2022-11-25,16.28,16.27,16.28,1326124.0
2022-11-28,15.83,15.83,15.83,2186541.0
2022-11-29,15.64,15.64,15.64,2394703.0
2022-11-30,16.93,16.93,16.93,4001636.0
2022-12-01,17.14,17.14,17.14,3365462.0
2022-12-02,16.88,16.88,16.88,2709448.0
2022-12-05,16.61,16.61,16.61,2472657.0
2022-12-06,15.99,15.99,15.99,2676666.0
2022-12-07,16.12,16.12,16.12,2921810.0
2022-12-08,17.18,17.18,17.18,3962209.0
2022-12-09,17.0,17.0,17.0,3490880.0
2022-12-12,17.53,17.53,17.54,3491615.0
2022-12-13,18.07,18.07,18.07,4652311.0
2022-12-14,17.67,17.67,17.67,3779924.0
2022-12-15,16.96,16.96,16.96,3446462.0
2022-12-16,16.58,16.58,16.58,3117158.0
2022-12-19,16.26,16.26,16.26,2685540.0
2022-12-20,16.09,16.08,16.09,2952958.0
2022-12-21,16.5,16.5,16.5,2478335.0
2022-12-22,15.34,15.34,15.34,4401902.0
2022-12-23,15.21,15.21,15.21,2737243.0
2022-12-27,14.12,14.12,14.12,3709539.0
2022-12-28,14.04,14.04,14.04,2781508.0
2022-12-29,14.6,14.6,14.6,2743383.0
2022-12-30,14.62,14.62,14.62,2383200.0
2023-01-03,14.32,14.32,14.32,3147011.0
2023-01-04,14.75,14.75,14.76,3392248.0
2023-01-05,14.27,14.27,14.27,2856172.0
2023-01-06,14.86,14.86,14.86,3104897.0
2023-01-09,15.64,15.64,15.64,3920150.0
2023-01-10,15.91,15.91,15.91,2986051.0
2023-01-11,16.0,16.0,16.0,2677939.0
2023-01-12,16.51,16.51,16.51,4328051.0
2023-01-13,16.9,16.9,16.9,3520076.0
2023-01-17,17.7,17.7,17.7,3909218.0
2023-01-18,17.38,17.38,17.38,3415928.0
2023-01-19,16.77,16.76,16.77,3528288.0
2023-01-20,17.84,17.83,17.84,4160343.0
2023-01-23,19.19,19.18,19.19,5161541.0
2023-01-24,19.26,19.25,19.26,3939099.0
2023-01-25,19.33,19.32,19.33,3684095.0
2023-01-26,19.8,19.79,19.8,3771900.0
2023-01-27,20.36,20.36,20.37,4267858.0
2023-01-30,19.17,19.16,19.17,3714118.0
2023-01-31,19.54,19.54,19.54,3745469.0
2023-02-01,20.95,20.94,20.95,5098672.0
2023-02-02,21.73,21.72,21.74,4208495.0
2023-02-03,21.1,21.1,21.1,3153398.0
2023-02-06,21.08,21.08,21.09,3559250.0
2023-02-07,22.17,22.17,22.17,5165686.0
2023-02-08,22.21,22.2,22.21,4200479.0
2023-02-09,22.34,22.33,22.34,4044188.0
2023-02-10,21.26,21.26,21.26,4266389.0
2023-02-13,21.79,21.79,21.8,3658753.0
2023-02-14,22.97,22.96,22.97,5184553.0
2023-02-15,22.77,22.76,22.77,3191544.0
2023-02-16,22.0,22.0,22.01,3007759.0
2023-02-17,21.39,21.39,21.39,3592348.0
2023-02-21,20.65,20.65,20.66,2880659.0
2023-02-22,20.79,20.77,20.8,3211887.0
2023-02-23,23.65,23.65,23.65,8213116.0
2023-02-24,23.29,23.29,23.29,4366380.0
2023-02-27,23.5,23.5,23.5,3356213.0
2023-02-28,23.21,23.21,23.22,3104867.0
2023-03-01,22.71,22.7,22.71,3180019.0
2023-03-02,23.32,23.31,23.32,2870346.0
2023-03-03,23.89,23.89,23.89,2952112.0
2023-03-06,23.56,23.55,23.56,3257159.0
2023-03-07,23.29,23.29,23.29,3983846.0
2023-03-08,24.18,24.18,24.18,4031284.0
2023-03-09,23.43,23.43,23.44,3774392.0
2023-03-10,22.97,22.97,22.97,3475145.0
2023-03-13,22.96,22.96,22.96,2946975.0
2023-03-14,24.05,24.04,24.06,3458290.0
2023-03-15,24.23,24.23,24.24,3738233.0
2023-03-16,25.54,25.54,25.55,4176247.0
2023-03-17,25.72,25.71,25.73,5244664.0
2023-03-20,25.91,25.9,25.91,3098443.0
2023-03-21,26.2,26.19,26.2,4095936.0
2023-03-22,26.46,26.45,26.46,6096384.0
2023-03-23,27.18,27.18,27.18,4077843.0
2023-03-24,26.79,26.78,26.79,3299429.0
2023-03-27,26.54,26.54,26.55,2741844.0
2023-03-28,26.41,26.41,26.42,2654311.0
2023-03-29,26.99,26.99,26.99,2768072.0
2023-03-30,27.39,27.39,27.4,2601114.0
2023-03-31,27.78,27.78,27.78,3068248.0
2023-04-03,27.96,27.96,27.97,2869642.0
2023-04-04,27.47,27.47,27.47,2675176.0
2023-04-05,26.88,26.88,26.88,3647268.0
2023-04-06,27.04,27.03,27.04,2767502.0
2023-04-10,27.59,27.59,27.6,2780273.0
2023-04-11,27.17,27.17,27.17,2225235.0
2023-04-12,26.5,26.49,26.5,3326320.0
2023-04-13,26.46,26.46,26.46,2514144.0
2023-04-14,26.76,26.75,26.76,2957511.0
2023-04-17,27.0,27.0,27.0,2346309.0
2023-04-18,27.66,27.66,27.66,4635715.0
2023-04-19,27.93,27.93,27.93,2718654.0
2023-04-20,27.11,27.11,27.11,3107273.0
2023-04-21,27.12,27.12,27.13,2504391.0
2023-04-24,27.04,27.04,27.04,2340103.0
2023-04-25,26.24,26.23,26.24,2730079.0
2023-04-26,26.96,26.96,26.96,3041068.0
2023-04-27,27.22,27.22,27.22,2716615.0
2023-04-28,27.75,27.75,27.75,2050611.0
2023-05-01,28.91,28.9,28.91,4427889.0
